ACER,Aspire 5 A514-53-3821 NX.HUSSV.001,Bạc,Intel Core i3-1005G1,4GB,Intel HD Graphics,HDD + SSD,14,3-CELL,1.5,Win 10,12189000,https://hanoicomputercdn.com/media/product/52087_acer_aspire_5_a514__8_.jpg
ASUS,VIVOBOOK S530UA S530UA-BQ072T,Vàng,Intel Core i3-8130U,4GB,Intel HD Graphics,HDD,15.6,3-CELL,1.64,Win 10,12199000,https://hanoicomputercdn.com/media/product/49513_asus_vivobook_s530ua__5_.png
LENOVO,IdeaPad S145-15IWL 81W8001YVN,Xám,Intel Core i5-1035G1,4GB,Intel HD Graphics,256GB SSD,15.6,2-CELL,1.6,Win 10,12299000,https://hanoicomputercdn.com/media/product/49369_lenovo_ideapad_s145__7_.jpg
MICROSOFT,Surface Go 2,Xám,Intel 4425Y,4GB,Intel HD Graphics,128GB SSD,10.5,3-CELL,0.56,Win 10,12499000,https://hanoicomputercdn.com/media/product/53384_microsoft_surface_go_2__5_.png
DELL,Vostro 3401 – Bảo hành tận nơi 70227392,Đen,Intel Core i3-1005G1,4GB,Intel HD Graphics,HDD + SSD,14,3-CELL,1.64,Win 10,12589000,https://hanoicomputercdn.com/media/product/56443_vostro3401__5_.png
ACER,Aspire 3 A315-56-59XY NX.HS5SV.003,Đen,Intel Core i5-1035G1,4GB,Intel HD Graphics,HDD + SSD,15.6,2-CELL,1.7,Win 10,12689000,https://hanoicomputercdn.com/media/product/52086_laptop_acer_aspire_a315_56_59xy__nx_hs5sv_003__i5.jpg
ACER,Aspire 5 A514-54-39KU NX.A23SV.003,Bạc,Intel Core i3-1115G4,4GB,Intel HD Graphics,HDD + SSD,14,3-CELL,1.5,Win 10,12989000,https://hanoicomputercdn.com/media/product/55834_a514_54__4_.png
HP,HP Pavilion 15-cs3010TU 8QN78PA,Xám,Intel Core i3-1005G1,4GB,Intel HD Graphics,256GB SSD,15.6,3-CELL,1.9,Win 10,12999000,https://hanoicomputercdn.com/media/product/50050_laptop_hp_pavilion_15_cs3010tu__8qn78pa__i3_xam.jpg
HP,14-ce3014TU 8QP03PA,Vàng,Intel Core i3-1005G1,4GB,Intel HD Graphics,256GB SSD,14,3-CELL,1.6,Win 10,12999000,https://hanoicomputercdn.com/media/product/51482_laptop_hp_pavilion_14_ce3014tu__8qp03pa__i3_vang.png
ASUS,TP412FA EC599T,Xanh,Intel Core i3-10110U,4GB,Intel HD Graphics,512GB SSD,14,3-CELL,1.5,Win 10,12999000,https://hanoicomputercdn.com/media/product/55883_tp412__4_.png
LENOVO,Lenovo Ideapad Slim 3 81W4009FVN,Xám,Ryzen 5 4500U,8GB,AMD Radeon Graphics,256GB SSD,15.6,2-CELL,2.39,Win 10,12999000,https://hanoicomputercdn.com/media/product/55884_idp3_15__4_.png
LENOVO,IdeaPad 3 14ARE05 81W30059VN,Đen,Ryzen 5 4500U,4GB,AMD Radeon Graphics,512GB SSD,14,2-CELL,2.15,Win 10,13199000,https://hanoicomputercdn.com/media/product/54196_lenovo_ideapad_3__4_.png
ASUS,Vivobook TM420IA-EC155T,Đen,Ryzen 3 4300U,4GB,AMD Radeon Graphics,256GB SSD,14,3-CELL,1.5,Win 10,13199000,https://hanoicomputercdn.com/media/product/56361_tm420ia_black_9_.png
ASUS,X409J (1S-TRANSPARENT SILVER),Bạc,Intel Core i5-1035G1,4GB,Intel HD Graphics,512GB SSD,14,2-CELL,1.45,Win 10,13699000,https://hanoicomputercdn.com/media/product/51981_laptop_asus_x409ja_ek014t_i5_bac.jpg
ASUS,90NB0SG2-M06220 A515EA-BQ489T,Bạc,Intel Core i3-1115G4,4GB,Intel HD Graphics,512GB SSD,14,3-CELL,1.35,Win 10,13849000,https://hanoicomputercdn.com/media/product/56230_a515__6_.png
ASUS,90NB0SG3-M06230 A515EA-BQ490T,Bạc,Intel Core i3-1115G4,4GB,Intel HD Graphics,512GB SSD,14,3-CELL,1.35,Win 10,13849000,https://hanoicomputercdn.com/media/product/56231_a515__6_.png
ASUS,90NB0SG1-M06240 A515EA-BQ491T,Bạc,Intel Core i3-1115G4,4GB,Intel HD Graphics,512GB SSD,14,3-CELL,1.35,Win 10,13849000,https://hanoicomputercdn.com/media/product/56232_a515__6_.png
HP,ProBook 445 G6�6XP98PA,Bạc,Ryzen 5 2500U,4GB,AMD Radeon Graphics,HDD + SSD,14,3-CELL,1.6,DOS,13999000,https://hanoicomputercdn.com/media/product/46346_hp_probook_445_g6__6_.png
HP,HP Pavilion x360 14-dw0060TU (GOLD) 195M8PA,Vàng,Intel Core i3-1005G1,4GB,Intel HD Graphics,256GB SSD,14,3-CELL,1.65,Win 10,13999000,https://hanoicomputercdn.com/media/product/53604_hp_pavilion_x360__4_.png
HP,HP 14s-dq1065TU 9TZ44PA,Bạc,Intel Core i5-1035G1,8GB,Intel HD Graphics,512GB SSD,14,3-CELL,1.46,Win 10,13999000,https://hanoicomputercdn.com/media/product/56169_51483_laptop_hp_14s_dq1065tu__8qn32pa__i5_bac.jpg
DELL,Inspiron 5391 N3I3001W,Bạc,Intel Core i3 10110U,4GB,Intel HD Graphics,128GB SSD,13.3,4-CELL,1.24,Win 10,14289000,https://hanoicomputercdn.com/media/product/49826_laptop_dell_inspiron_5391__n3i3001w__01.png
HP,Notebook 8VY69PA,Bạc,Intel Core i5-1035G1,4GB,Intel HD Graphics,512GB SSD,15.6,3-CELL,1.69,Win 10,14299000,https://hanoicomputercdn.com/media/product/55435_hp_15s__5_.jpg
LENOVO,IdeaPad 3 15IIL05 (BUSINESS_BLACK) 81WE0086VN,Đen,Intel Core i5-1035G4,4GB,Intel HD Graphics,512GB SSD,15.6,2-CELL,1.663,Win 10,14499000,https://hanoicomputercdn.com/media/product/55892_idp3_15__4_.png
ACER,Aspire 3 A315-55G-504M NX.HNSSV.006,Đen,Intel Core i5-10210U,4GB,NVIDIA GeForce MX230,HDD + SSD,15.6,3-CELL,1.7,Win 10,14589000,https://hanoicomputercdn.com/media/product/52624_acer_aspire_3_a315_55g_504_6_.jpg
ACER,Aspire 5 A514-53-50JA NX.HUSSV.002,Bạc,Intel Core i5-1035G1,4GB,Intel HD Graphics,256GB SSD,14,3-CELL,1.5,Win 10,14689000,https://hanoicomputercdn.com/media/product/52110_acer_aspire_5_a514__8_.jpg
DELL,Inspiron 3593 P75F013N93D,Đen,Intel Core i5 1035G1,4GB,Intel HD Graphics,HDD + SSD,15.6,3-CELL,2,Win 10,14689000,https://hanoicomputercdn.com/media/product/52887_dell_inspiron_n3593d__1_.jpg
DELL,Inspiron 3593 70205744,Bạc,Intel Core i5 1035G1,4GB,NVIDIA GeForce MX230,256GB SSD,15.6,3-CELL,2,Win 10,14989000,https://hanoicomputercdn.com/media/product/52248_laptop_dell_inspiron_3593__70205744__i5_bac.jpg
DELL,Inspiron 3593 70205743,Đen,Intel Core i5 1035G1,4GB,NVIDIA GeForce MX230,256GB SSD,15.6,3-CELL,2,Win 10,14989000,https://hanoicomputercdn.com/media/product/53668_inspiron_3593__4_.png
HP,HP Pavilion 15-cs3015TU 8QP15PA,Xám,Intel Core i5-1035G1,4GB,Intel HD Graphics,256GB SSD,15.6,3-CELL,1.9,Win 10,14999000,https://hanoicomputercdn.com/media/product/50052_laptop_hp_pavilion_15_cs3015tu__8qp15pa__i5_xam.jpg
MICROSOFT,Surface Go 2,Xám,Intel 4425Y,8GB,Intel HD Graphics,128GB SSD,10.5,3-CELL,0.56,Win 10,14999000,https://hanoicomputercdn.com/media/product/53385_microsoft_surface_go_2__5_.png
LENOVO,IdeaPad 3 14IIL05 81WD00D9VN,Xám,Intel Core i5-1035G1,4GB,Intel HD Graphics,512GB SSD,14,2-CELL,1.6,Win 10,14999000,https://hanoicomputercdn.com/media/product/56306_ide__pd3__4_.png
ACER,Aspire 5 A515-55-55JA NX.HSMSV.003,Bạc,Intel Core i5-1035G1,4GB,Intel HD Graphics,HDD + SSD,15.6,3-CELL,1.7,Win 10,15289000,https://hanoicomputercdn.com/media/product/53015_acer_aspire_5_a515_54_51j3__6_.png
DELL,Vostro 3591 GTNHJ1,Đen,Intel Core i5-1035G1,8GB,Intel HD Graphics,256GB SSD,15.6,3-CELL,2,Win 10,15489000,https://hanoicomputercdn.com/media/product/56338_vostro_3591__4_.png
LENOVO,Máy tính xách tay IdeaPad 3 14ARE05 81W3005AVN,Xám,Ryzen 7 4700U,4GB,AMD Radeon Graphics,512GB SSD,14,2-CELL,2.15,Win 10,15499000,https://hanoicomputercdn.com/media/product/54197_ideapad3__4_.png
ASUS,M433I (8W – DREAMY WHITE),Trắng,Ryzen 5 4500U,8GB,AMD Radeon Graphics,512GB SSD,14,3-CELL,1.41,Win 10,15499000,https://hanoicomputercdn.com/media/product/56167_53778_m433__4_.jpg
ASUS,M433I (8W – DREAMY WHITE),Trắng,Ryzen 5 4500U,8GB,AMD Radeon Graphics,512GB SSD,14,3-CELL,1.41,Win 10,15499000,https://hanoicomputercdn.com/media/product/56168_53778_m433__4_.jpg
ACER,Aspire 5 A514-53-50P9 NX.HUSSV.004,Bạc,Intel Core i5-1035G1,8GB,Intel HD Graphics,HDD + SSD,14,3-CELL,1.5,Win 10,15589000,https://hanoicomputercdn.com/media/product/52111_acer_aspire_5_a514__8_.jpg
HP,HP 348 G7 (SILVER) 9PH06PA,Bạc,Intel Core i5-10210U,8GB,Intel HD Graphics,512GB SSD,14,3-CELL,1.42,Win 10,15799000,https://hanoicomputercdn.com/media/product/51840_laptop_hp_348_g7__9ph06pa__i5_bac.jpg
DELL,Vostro 3590 P75F010N90B,Đen,Intel Core i5-10210U,8GB,AMD Radeon 610,256GB SSD,15.6,3-CELL,2,Win 10,15799000,https://hanoicomputercdn.com/media/product/52972_dell_vostro_3590b__1_.jpg
ASUS,X509J (1S-TRANSPARENT SILVER),Bạc,Intel Core i5-1035G1,4GB,NVIDIA GeForce MX330,512GB SSD,15.6,2-CELL,1.71,Win 10,15899000,https://hanoicomputercdn.com/media/product/52293_laptop_asus_x509jp_ej013t_i5_bac.jpg
